,train,val,fold,family,superfamily
0,1.0,0.3967391304347826,0.2520891364902507,0.9551886792452831,0.48086124401913877
1,1.0,0.391304347826087,0.2646239554317549,0.9614779874213837,0.4840510366826156
2,1.0,0.40896739130434784,0.25348189415041783,0.9599056603773585,0.48165869218500795
3,1.0,0.39945652173913043,0.2479108635097493,0.9599056603773585,0.48086124401913877
4,1.0,0.39809782608695654,0.24651810584958217,0.960691823899371,0.47527910685805425
5,1.0,0.39945652173913043,0.24930362116991645,0.9622641509433962,0.47368421052631576
6,1.0,0.40625,0.24651810584958217,0.9622641509433962,0.4688995215311005
7,1.0,0.3858695652173913,0.24233983286908078,0.9583333333333334,0.47208931419457734
8,1.0,0.37771739130434784,0.24512534818941503,0.9599056603773585,0.4609250398724083
9,1.0,0.37092391304347827,0.23119777158774374,0.9536163522012578,0.46172248803827753
10,1.0,0.3695652173913043,0.22841225626740946,0.9520440251572327,0.45933014354066987
